,DATE,REGION,NEW_CASES,CUMULATIVE_CASES,NEW_DEATHS,CUMULATIVE_DEATHS,CUMULATIVE_RECOVERED,NEW_RECOVERED,ACTIVE_CASES
41,2020-04-06,SP,246,4866,29,304,1,0,4561
42,2020-04-07,SP,816,5682,67,371,1,0,5310
43,2020-04-08,SP,1026,6708,57,428,1,0,6279
44,2020-04-09,SP,772,7480,68,496,1,0,6983
45,2020-04-10,SP,736,8216,44,540,1,0,7675
46,2020-04-11,SP,203,8419,20,560,1,0,7858
47,2020-04-12,SP,336,8755,28,588,1,0,8166
48,2020-04-13,SP,140,8895,20,608,1524,1523,6763
49,2020-04-14,SP,476,9371,87,695,1524,0,7152
50,2020-04-15,SP,1672,11043,83,778,1524,0,8741
51,2020-04-16,SP,525,11568,75,853,1524,0,9191
52,2020-04-17,SP,1273,12841,75,928,1524,0,10389
53,2020-04-18,SP,1053,13894,63,991,1524,0,11379
54,2020-04-19,SP,373,14267,24,1015,1524,0,11728
55,2020-04-20,SP,313,14580,22,1037,1524,0,12019
56,2020-04-21,SP,805,15385,56,1093,1524,0,12768
57,2020-04-22,SP,529,15914,41,1134,1524,0,13256
58,2020-04-23,SP,826,16740,211,1345,1524,0,13871
59,2020-04-24,SP,1086,17826,167,1512,1524,0,14790
60,2020-04-25,SP,2178,20004,155,1667,1524,0,16813
